x	f	u
0	0.89797509	0
0.03225806	0.73635586	-0.3982333
0.06451613	0.49473097	-0.87309052
0.09677419	0.30693594	-1.39942859
0.12903226	0.24846879	-1.95770588
0.16129032	-0.11819726	-2.54183841
0.19354839	-0.40100284	-3.11367153
0.22580645	-0.74168227	-3.64377699
0.25806452	-1.16321724	-4.09670427
0.29032258	-1.43379601	-4.42858918
0.32258065	-1.47186068	-4.61127575
0.35483871	-1.4500774	-4.64080304
0.38709677	-1.23611152	-4.51943778
0.41935484	-0.89828487	-4.2694449
0.4516129	-0.8071682	-3.92597804
0.48387097	-0.45455808	-3.49851865
0.51612903	0.05939475	-3.02375873
0.5483871	0.39136287	-2.55517933
0.58064516	0.04219318	-2.12732447
0.61290323	0.2793541	-1.70386016
0.64516129	0.2167159	-1.30946496
0.67741935	0.06060804	-0.93762083
0.70967742	0.14667975	-0.57208348
0.74193548	0.44257252	-0.22180937
0.77419355	0.58036757	0.08241141
0.80645161	0.73411472	0.32624015
0.83870968	0.70386146	0.49367817
0.87096774	0.76702558	0.58787359
0.90322581	0.98617831	0.60225365
0.93548387	1.09126657	0.5140137
0.96774194	1.06116662	0.31221843
1	0.76176737	0

